off_class,confidence,PMID,Journal
other,0.7098,14668225,Bioinformatics
other,1,12386000,Bioinformatics
other,0.6522,19050036,Bioinformatics
other,0.6704,19628501,Bioinformatics
other,1,19153135,Bioinformatics
other,0.5761,16287937,Bioinformatics
other,0.6667,23626001,Bioinformatics
other,0.6011,23023980,Bioinformatics
other,1,22210866,Bioinformatics
other,1,22689754,Bioinformatics
other,1,21436129,Bioinformatics
other,0.6174,20819959,Bioinformatics
other,1,19933158,Bioinformatics
other,0.7183,19478019,Bioinformatics
other,0.3944,17098773,Bioinformatics
other,1,17644559,Bioinformatics
other,0.6853,16446279,Bioinformatics
other,1,16873468,Bioinformatics
other,1,16221984,Bioinformatics
other,1,16076887,Bioinformatics
other,1,14555629,Bioinformatics
other,1,22531218,Bioinformatics
other,0.3736,19376825,Bioinformatics
other,1,17537755,Bioinformatics
other,1,16239305,Bioinformatics
other,1,12499307,Bioinformatics
other,0.7232,12117803,Bioinformatics
other,0.5992,24162468,Bioinformatics
other,0.5072,23813008,Bioinformatics
other,1,23428640,Bioinformatics
other,0.4012,21803804,Bioinformatics
other,0.4058,21478194,Bioinformatics
other,0.6667,21903624,Bioinformatics
other,0.393,20472546,Bioinformatics
other,0.7051,19671693,Bioinformatics
other,1,17237055,Bioinformatics
other,0.6764,25398609,Bioinformatics
other,1,25064567,Bioinformatics
other,1,20709690,Bioinformatics
other,0.6565,18175769,Bioinformatics
other,1,12538239,Bioinformatics
other,0.7218,11524374,Bioinformatics
other,0.3934,24813215,Bioinformatics
other,0.599,23162086,Bioinformatics
other,1,23196990,Bioinformatics
other,0.595,22962468,Bioinformatics
other,0.597,19889798,Bioinformatics
other,0.6607,20736343,Bioinformatics
other,0.5652,18586729,Bioinformatics
other,0.6612,18684738,Bioinformatics
other,1,16286362,Bioinformatics
other,1,16096349,Bioinformatics
other,0.6555,25677125,Bioinformatics
other,0.4082,20505005,Bioinformatics
other,1,18174184,Bioinformatics
other,1,16488908,Bioinformatics
other,0.576,12117787,Bioinformatics
other,1,12376387,Bioinformatics
other,0.4124,25161252,Bioinformatics
other,0.6884,24369151,Bioinformatics
other,0.6989,24273243,Bioinformatics
other,1,25078396,Bioinformatics
other,0.597,23620360,Bioinformatics
other,0.6633,23104891,Bioinformatics
other,1,23407359,Bioinformatics
other,1,23457041,Bioinformatics
other,0.5722,22962458,Bioinformatics
other,0.6894,22539672,Bioinformatics
other,1,22238270,Bioinformatics
other,1,21697124,Bioinformatics
other,1,20616385,Bioinformatics
other,0.6098,18689824,Bioinformatics
other,0.6612,18796478,Bioinformatics
other,0.6667,18037683,Bioinformatics
other,0.675,18180239,Bioinformatics
other,1,18689841,Bioinformatics
other,1,19470584,Bioinformatics
other,0.6552,14734319,Bioinformatics
other,1,10383471,Bioinformatics
other,0.6491,25480377,Bioinformatics
other,0.6667,25637562,Bioinformatics
other,0.6814,25481006,Bioinformatics
other,1,25246432,Bioinformatics
other,1,25359895,Bioinformatics
other,0.6,24108186,Bioinformatics
other,0.6667,24932001,Bioinformatics
other,0.6693,24273247,Bioinformatics
other,1,24931989,Bioinformatics
other,0.6316,23812977,Bioinformatics
other,0.6639,23479353,Bioinformatics
other,0.6639,24013925,Bioinformatics
other,1,23142964,Bioinformatics
other,1,23918250,Bioinformatics
other,0.4112,22976081,Bioinformatics
other,0.5629,22718785,Bioinformatics
other,0.5742,22451271,Bioinformatics
other,0.6327,22302575,Bioinformatics
other,0.6794,22743225,Bioinformatics
other,1,22419783,Bioinformatics
other,1,22692221,Bioinformatics
other,0.6667,21685045,Bioinformatics
other,0.7436,21349867,Bioinformatics
other,1,21775308,Bioinformatics
other,1,21551150,Bioinformatics
other,0.4112,20940168,Bioinformatics
other,0.661,20395286,Bioinformatics
other,0.6693,20702398,Bioinformatics
other,0.593,18310619,Bioinformatics
other,0.6776,24234005,Bioinformatics
other,0.6694,20591906,Bioinformatics
other,1,19158160,Bioinformatics
other,0.6665,16418234,Bioinformatics
other,0.576,11590109,Bioinformatics
other,0.6562,25359888,Bioinformatics
other,0.6635,25667547,Bioinformatics
other,1,25399029,Bioinformatics
other,0.6688,24867942,Bioinformatics
other,0.6909,25161256,Bioinformatics
other,0.741,25161241,Bioinformatics
other,1,25161243,Bioinformatics
other,1,25143286,Bioinformatics
other,1,24813543,Bioinformatics
other,1,24907367,Bioinformatics
other,1,24931980,Bioinformatics
other,1,24273239,Bioinformatics
other,1,24215030,Bioinformatics
other,0.4088,23202745,Bioinformatics
other,0.6667,23110968,Bioinformatics
other,0.6667,23740747,Bioinformatics
other,0.6667,24008421,Bioinformatics
other,0.5909,22962453,Bioinformatics
other,0.6827,22592382,Bioinformatics
other,1,22652832,Bioinformatics
other,0.6909,21685091,Bioinformatics
other,1,21310745,Bioinformatics
other,0.7107,20813878,Bioinformatics
other,0.6535,19602528,Bioinformatics
other,0.6625,19213741,Bioinformatics
other,1,19819886,Bioinformatics
other,1,18621758,Bioinformatics
other,0.6736,16339284,Bioinformatics
other,0.7019,16837525,Bioinformatics
other,1,17032673,Bioinformatics
other,0.6329,16109746,Bioinformatics
other,0.6591,14962939,Bioinformatics
other,0.7086,19321733,Bioinformatics
other,0.7218,12538252,Bioinformatics
other,1,18245126,Bioinformatics
other,1,15262776,Bioinformatics
other,1,19706743,Bioinformatics
other,1,19767300,Bioinformatics
other,1,17463018,Bioinformatics
other,0.4032,25583121,Bioinformatics
other,0.6695,25417202,Bioinformatics
other,0.6786,25686636,Bioinformatics
other,0.6792,25609792,Bioinformatics
other,0.6801,25388149,Bioinformatics
other,0.696,19346326,Bioinformatics
other,0.6983,21558156,Bioinformatics
other,0.6983,25165093,Bioinformatics
other,0.7296,11934737,Bioinformatics
other,1,18628290,Bioinformatics
other,1,22171332,Bioinformatics
other,1,20663847,Bioinformatics
other,1,25256572,Bioinformatics
other,1,25359890,Bioinformatics
other,1,25273107,Bioinformatics
other,1,26072486,Bioinformatics
other,1,25609797,Bioinformatics
other,1,25697821,Bioinformatics
no_URL,1,25573922,Bioinformatics
no_URL,0.672,25388150,Bioinformatics
no_URL,0.6677,25609798,Bioinformatics
no_URL,1,25609791,Bioinformatics
no_URL,0.5962,25573916,Bioinformatics
no_URL,1,25398613,Bioinformatics
no_URL,0.4154,25573917,Bioinformatics
no_URL,0.666,25388147,Bioinformatics
no_URL,0.6667,25183486,Bioinformatics
no_URL,0.7302,25583120,Bioinformatics
no_URL,0.7436,25586515,Bioinformatics
no_URL,0.7501,25406327,Bioinformatics
no_URL,1,25178460,Bioinformatics
no_URL,1,25380961,Bioinformatics
no_URL,1,25388146,Bioinformatics
no_URL,1,25964657,Bioinformatics
a_program,1,11524383,Bioinformatics
a_program,0.7139,9918953,Bioinformatics
a_program,0.6614,16928733,Bioinformatics
a_program,1,10320398,Bioinformatics
a_program,0.5629,14734327,Bioinformatics
a_program,0.7317,10869041,Bioinformatics
a_program,1,14871861,Bioinformatics
a_program,1,12724300,Bioinformatics
a_program,0.741,14976030,Bioinformatics
a_program,0.5707,12499305,Bioinformatics
a_program,0.7263,10089204,Bioinformatics
a_program,1,9632836,Bioinformatics
a_program,1,17485429,Bioinformatics
a_program,0.69,15073015,Bioinformatics
a_program,1,21335321,Bioinformatics
a_program,1,15608047,Bioinformatics
a_program,0.7243,9927721,Bioinformatics
a_program,1,15728110,Bioinformatics
a_program,1,12584123,Bioinformatics
a_program,1,10842743,Bioinformatics
a_program,0.7176,12538260,Bioinformatics
a_program,1,11934745,Bioinformatics
a_program,0.689,10320401,Bioinformatics
a_program,1,11751234,Bioinformatics
a_program,0.6566,15701681,Bioinformatics
a_program,1,16982708,Bioinformatics
a_program,1,15284097,Bioinformatics
a_program,1,14871870,Bioinformatics
a_program,1,11524377,Bioinformatics
a_program,1,12874059,Bioinformatics
a_program,0.6905,11751219,Bioinformatics
a_program,1,12538257,Bioinformatics
a_program,0.6786,10487868,Bioinformatics
a_program,0.7106,12724301,Bioinformatics
a_program,1,14668220,Bioinformatics
a_program,1,16473872,Bioinformatics
a_program,1,17237066,Bioinformatics
a_program,1,12016059,Bioinformatics
a_program,0.6851,12016052,Bioinformatics
a_program,1,12724298,Bioinformatics
a_program,1,15647293,Bioinformatics
a_program,0.7328,9927716,Bioinformatics
a_program,0.6887,16046496,Bioinformatics
a_program,1,15914541,Bioinformatics
a_program,1,12611807,Bioinformatics
a_program,0.6721,10869039,Bioinformatics
a_program,0.404,17724061,Bioinformatics
a_program,1,17267436,Bioinformatics
a_program,0.7195,15613384,Bioinformatics
a_program,0.6853,9789091,Bioinformatics
a_program,1,16873526,Bioinformatics
a_program,1,14693803,Bioinformatics
a_program,1,12176838,Bioinformatics
a_program,1,11934757,Bioinformatics
a_program,0.7034,16159918,Bioinformatics
a_program,1,16543274,Bioinformatics
a_program,1,10869038,Bioinformatics
a_program,1,19017659,Bioinformatics
a_program,1,18033792,Bioinformatics
a_program,1,17463017,Bioinformatics
a_program,0.6727,23428641,Bioinformatics
a_program,1,12538265,Bioinformatics
a_program,0.6452,10842735,Bioinformatics
a_program,1,17599930,Bioinformatics
a_program,0.6873,16418235,Bioinformatics
a_program,0.726,10222413,Bioinformatics
a_program,1,19001476,Bioinformatics
a_program,0.6589,19515959,Bioinformatics
a_program,0.6682,16204114,Bioinformatics
a_program,1,16105897,Bioinformatics
a_program,1,9614273,Bioinformatics
a_program,1,15201182,Bioinformatics
a_program,0.7329,11724738,Bioinformatics
a_program,1,18779233,Bioinformatics
a_program,1,15271777,Bioinformatics
a_program,1,11590098,Bioinformatics
a_program,1,9694991,Bioinformatics
a_program,1,15374874,Bioinformatics
a_program,1,12538259,Bioinformatics
a_program,1,20529923,Bioinformatics
a_program,1,17142812,Bioinformatics
a_program,0.6813,15746282,Bioinformatics
a_program,0.6612,21045073,Bioinformatics
a_program,0.7596,16766552,Bioinformatics
a_program,1,16895925,Bioinformatics
a_program,1,10366660,Bioinformatics
a_program,0.5912,9682055,Bioinformatics
a_program,0.6853,14594704,Bioinformatics
a_program,0.7326,16873472,Bioinformatics
a_program,0.6727,14764558,Bioinformatics
a_program,1,17893086,Bioinformatics
a_program,1,14988107,Bioinformatics
a_program,0.6667,18586725,Bioinformatics
a_program,0.6639,19357097,Bioinformatics
a_program,1,16777906,Bioinformatics
a_program,1,14594714,Bioinformatics
a_program,0.5908,12176841,Bioinformatics
a_program,1,20505004,Bioinformatics
a_program,1,11590103,Bioinformatics
a_program,1,11448888,Bioinformatics
a_program,0.697,10869013,Bioinformatics
a_program,1,20215462,Bioinformatics
a_program,0.5781,17237068,Bioinformatics
a_program,0.6605,15059820,Bioinformatics
a_program,1,17545177,Bioinformatics
a_program,1,20926419,Bioinformatics
a_program,0.4161,15746281,Bioinformatics
a_program,0.6906,11751221,Bioinformatics
a_program,1,16410319,Bioinformatics
a_program,0.7287,15941743,Bioinformatics
a_program,1,19736251,Bioinformatics
a_program,1,17267429,Bioinformatics
a_program,0.4969,15613400,Bioinformatics
a_program,0.6799,15353451,Bioinformatics
a_program,1,11120681,Bioinformatics
a_program,1,14988125,Bioinformatics
a_program,1,11751240,Bioinformatics
a_program,1,18203770,Bioinformatics
a_program,1,10487870,Bioinformatics
a_program,0.4141,21325299,Bioinformatics
a_program,0.6573,10487861,Bioinformatics
a_program,0.7048,17646316,Bioinformatics
a_program,1,16418236,Bioinformatics
a_program,1,15994190,Bioinformatics
a_program,1,10842729,Bioinformatics
a_program,0.6524,12538253,Bioinformatics
a_program,1,18174181,Bioinformatics
a_program,1,12584135,Bioinformatics
a_program,1,12835279,Bioinformatics
a_program,1,11159316,Bioinformatics
a_program,1,10366661,Bioinformatics
a_program,1,18614585,Bioinformatics
a_program,1,12801878,Bioinformatics
a_program,1,17646340,Bioinformatics
a_program,1,17234637,Bioinformatics
a_program,1,15572466,Bioinformatics
a_program,1,15333461,Bioinformatics
a_program,0.7294,15961467,Bioinformatics
a_program,0.6981,12761058,Bioinformatics
a_program,1,11590107,Bioinformatics
a_program,1,20194626,Bioinformatics
a_program,1,19696045,Bioinformatics
a_program,0.4087,18689813,Bioinformatics
a_program,0.6688,17468121,Bioinformatics
a_program,0.5674,15145800,Bioinformatics
a_program,0.6821,14534181,Bioinformatics
a_program,1,17599940,Bioinformatics
a_program,0.7021,16144808,Bioinformatics
a_program,0.6796,15145817,Bioinformatics
a_program,0.6522,12016058,Bioinformatics
a_program,0.6865,19414529,Bioinformatics
a_program,0.705,19346323,Bioinformatics
a_program,0.7798,15657106,Bioinformatics
a_program,0.6491,14962936,Bioinformatics
a_program,0.7207,14668239,Bioinformatics
a_program,1,19478018,Bioinformatics
a_program,1,19369497,Bioinformatics
a_program,1,14764557,Bioinformatics
a_program,1,14988111,Bioinformatics
a_program,0.5737,20628077,Bioinformatics
a_program,0.6677,20591903,Bioinformatics
a_program,1,19147661,Bioinformatics
a_program,0.6639,17308339,Bioinformatics
a_program,1,12761060,Bioinformatics
a_program,1,18641403,Bioinformatics
a_program,1,16873504,Bioinformatics
a_program,0.6637,20880956,Bioinformatics
a_program,0.7019,16174683,Bioinformatics
a_program,1,14512352,Bioinformatics
a_program,0.7213,12499296,Bioinformatics
a_program,0.7171,17519249,Bioinformatics
a_program,1,12217908,Bioinformatics
a_program,1,15572465,Bioinformatics
a_program,1,15284100,Bioinformatics
a_program,1,12584125,Bioinformatics
a_program,1,16418238,Bioinformatics
a_program,0.6744,14734323,Bioinformatics
a_program,1,15262778,Bioinformatics
a_program,1,19304876,Bioinformatics
a_program,1,18940826,Bioinformatics
a_program,1,15374871,Bioinformatics
a_program,1,15333454,Bioinformatics
a_program,0.7439,15479710,Bioinformatics
a_program,1,15374872,Bioinformatics
a_program,0.5871,14734310,Bioinformatics
a_program,1,14630651,Bioinformatics
a_program,0.6871,17138585,Bioinformatics
a_program,1,20150411,Bioinformatics
a_program,1,18586710,Bioinformatics
a_program,1,17392326,Bioinformatics
a_program,1,16234319,Bioinformatics
a_program,1,15961480,Bioinformatics
a_program,1,14988123,Bioinformatics
a_program,1,10743555,Bioinformatics
a_program,1,9789095,Bioinformatics
a_program,0.6776,14512356,Bioinformatics
a_program,1,17038344,Bioinformatics
a_program,1,12761062,Bioinformatics
a_program,1,14512360,Bioinformatics
a_program,0.604,12050068,Bioinformatics
a_program,0.7279,18799481,Bioinformatics
a_program,1,18434344,Bioinformatics
a_program,1,15333462,Bioinformatics
a_program,1,14764543,Bioinformatics
a_program,1,19648141,Bioinformatics
a_program,0.6641,18842598,Bioinformatics
a_program,0.7561,16368767,Bioinformatics
a_program,0.7295,11472992,Bioinformatics
a_program,0.6694,17646323,Bioinformatics
a_program,1,17933852,Bioinformatics
a_program,1,17646297,Bioinformatics
a_program,1,16672258,Bioinformatics
a_program,0.6516,15691855,Bioinformatics
a_program,1,15728117,Bioinformatics
a_program,0.6743,15044248,Bioinformatics
a_program,1,14693804,Bioinformatics
a_program,0.6993,10498779,Bioinformatics
a_program,1,9682054,Bioinformatics
a_program,0.6965,12874065,Bioinformatics
a_program,1,17127678,Bioinformatics
a_program,1,10068691,Bioinformatics
a_program,1,21081510,Bioinformatics
a_program,1,20817744,Bioinformatics
a_program,0.6729,19254923,Bioinformatics
a_program,1,16455751,Bioinformatics
a_program,1,15130924,Bioinformatics
a_program,0.6086,12499291,Bioinformatics
a_program,0.6774,10842734,Bioinformatics
a_program,1,10222404,Bioinformatics
a_program,1,16377612,Bioinformatics
a_program,1,12538242,Bioinformatics
a_program,1,22843986,Bioinformatics
a_program,1,20507895,Bioinformatics
a_program,0.6491,17890735,Bioinformatics
a_program,1,17182698,Bioinformatics
a_program,0.7113,16873476,Bioinformatics
a_program,1,10871266,Bioinformatics
a_program,0.6683,16030071,Bioinformatics
a_program,1,14594722,Bioinformatics
a_program,1,12874043,Bioinformatics
a_program,1,12050070,Bioinformatics
a_program,0.6555,20439255,Bioinformatics
a_program,0.6981,19052058,Bioinformatics
a_program,1,18586726,Bioinformatics
a_program,1,17768165,Bioinformatics
a_program,0.6311,16837523,Bioinformatics
a_program,0.6021,15998662,Bioinformatics
a_program,1,15033872,Bioinformatics
a_program,1,14962932,Bioinformatics
a_program,1,10383469,Bioinformatics
a_program,1,16672257,Bioinformatics
a_program,1,15347570,Bioinformatics
a_program,1,15613393,Bioinformatics
a_program,0.3676,14594711,Bioinformatics
a_program,0.4406,10320400,Bioinformatics
a_program,1,10366657,Bioinformatics
a_program,0.6077,20519285,Bioinformatics
a_program,1,18204058,Bioinformatics
a_program,0.7587,15564294,Bioinformatics
a_program,0.6921,14764555,Bioinformatics
a_program,1,15271783,Bioinformatics
a_program,1,14871877,Bioinformatics
a_program,0.6695,11524382,Bioinformatics
a_program,0.6319,15961502,Bioinformatics
a_program,0.6655,15845657,Bioinformatics
a_program,0.7396,14734313,Bioinformatics
a_program,1,14630653,Bioinformatics
a_program,0.4281,10842733,Bioinformatics
a_program,1,10842737,Bioinformatics
a_program,1,19153136,Bioinformatics
a_program,1,17150997,Bioinformatics
a_program,0.6818,16870932,Bioinformatics
a_program,0.6553,14871873,Bioinformatics
a_program,1,15247104,Bioinformatics
a_program,1,16926221,Bioinformatics
a_program,1,21685062,Bioinformatics
a_program,1,18689811,Bioinformatics
a_program,1,17118958,Bioinformatics
a_program,1,17646347,Bioinformatics
a_program,1,16037121,Bioinformatics
a_program,1,14630647,Bioinformatics
a_program,0.7355,12050076,Bioinformatics
a_program,0.6552,21398673,Bioinformatics
a_program,1,19213740,Bioinformatics
a_program,1,19825796,Bioinformatics
a_program,0.7152,18562270,Bioinformatics
a_program,1,17468122,Bioinformatics
a_program,0.6667,16410323,Bioinformatics
a_program,1,16682421,Bioinformatics
a_program,0.6993,15310559,Bioinformatics
a_program,0.704,15961475,Bioinformatics
a_program,0.6472,15044245,Bioinformatics
a_program,1,14512345,Bioinformatics
a_program,0.6589,10743557,Bioinformatics
a_program,0.5903,16766556,Bioinformatics
a_program,1,15388516,Bioinformatics
a_program,1,15262777,Bioinformatics
a_program,1,15262800,Bioinformatics
a_program,1,14871865,Bioinformatics
a_program,1,12499300,Bioinformatics
a_program,0.6531,10842741,Bioinformatics
a_program,0.728,22451269,Bioinformatics
a_program,1,20139469,Bioinformatics
a_program,1,20525822,Bioinformatics
a_program,1,17314123,Bioinformatics
a_program,1,17237065,Bioinformatics
a_program,1,16731694,Bioinformatics
a_program,1,15585527,Bioinformatics
a_program,1,14693812,Bioinformatics
a_program,1,12874050,Bioinformatics
a_program,0.6794,12386002,Bioinformatics
a_program,1,14962913,Bioinformatics
a_program,1,12874055,Bioinformatics
a_program,1,11448887,Bioinformatics
a_program,1,11159314,Bioinformatics
a_program,0.7075,10869032,Bioinformatics
a_program,0.7206,9682051,Bioinformatics
a_program,1,19661241,Bioinformatics
a_program,1,18984598,Bioinformatics
a_program,1,17485427,Bioinformatics
a_program,1,16921162,Bioinformatics
a_program,1,16407320,Bioinformatics
a_program,0.6374,16837524,Bioinformatics
a_program,0.4202,15479713,Bioinformatics
a_program,0.6638,14988105,Bioinformatics
a_program,1,12584117,Bioinformatics
a_program,0.6621,11934741,Bioinformatics
a_program,1,11751228,Bioinformatics
a_program,1,15585531,Bioinformatics
a_program,1,15746288,Bioinformatics
a_program,1,15319261,Bioinformatics
a_program,1,9545460,Bioinformatics
a_program,0.6633,21653519,Bioinformatics
a_program,0.6557,21505035,Bioinformatics
a_program,1,21330288,Bioinformatics
a_program,0.5789,19933160,Bioinformatics
a_program,0.4227,19759196,Bioinformatics
a_program,0.7291,19477978,Bioinformatics
a_program,0.6929,18544547,Bioinformatics
a_program,1,17121774,Bioinformatics
a_program,1,17038341,Bioinformatics
a_program,1,15961499,Bioinformatics
a_program,1,15044235,Bioinformatics
a_program,0.6639,14512359,Bioinformatics
a_program,1,10869018,Bioinformatics
a_program,1,20934992,Bioinformatics
a_program,1,17827206,Bioinformatics
a_program,0.7214,16159919,Bioinformatics
a_program,1,15166027,Bioinformatics
a_program,0.6581,10498775,Bioinformatics
a_program,1,21994224,Bioinformatics
a_program,0.6679,20202973,Bioinformatics
a_program,0.6757,20605925,Bioinformatics
a_program,0.68,20410051,Bioinformatics
a_program,0.6869,20453004,Bioinformatics
a_program,0.6746,18285371,Bioinformatics
a_program,0.6928,17942444,Bioinformatics
a_program,0.6636,16882647,Bioinformatics
a_program,1,16109745,Bioinformatics
a_program,0.5746,11934747,Bioinformatics
a_program,1,21505032,Bioinformatics
a_program,1,17110368,Bioinformatics
a_program,0.7333,16966358,Bioinformatics
a_program,0.7021,14988124,Bioinformatics
a_program,0.6776,10487869,Bioinformatics
a_program,0.6635,21685072,Bioinformatics
a_program,1,20538726,Bioinformatics
a_program,1,19783830,Bioinformatics
a_program,0.6601,18056062,Bioinformatics
a_program,1,18245129,Bioinformatics
a_program,1,17332025,Bioinformatics
a_program,1,17599933,Bioinformatics
a_program,0.5914,16951291,Bioinformatics
a_program,1,16301203,Bioinformatics
a_program,1,15923205,Bioinformatics
a_program,1,15699024,Bioinformatics
a_program,0.6541,10743554,Bioinformatics
a_program,1,18697770,Bioinformatics
a_program,1,17237043,Bioinformatics
a_program,1,16076889,Bioinformatics
a_program,0.5738,14871872,Bioinformatics
a_program,1,15087322,Bioinformatics
a_program,0.6699,12176835,Bioinformatics
a_program,0.6746,11473014,Bioinformatics
a_program,1,22689758,Bioinformatics
a_program,1,22088843,Bioinformatics
a_program,1,21478197,Bioinformatics
a_program,0.6696,20208068,Bioinformatics
a_program,1,20097913,Bioinformatics
a_program,1,20959382,Bioinformatics
a_program,1,18945685,Bioinformatics
a_program,1,18689823,Bioinformatics
a_program,1,18635572,Bioinformatics
a_program,1,18689843,Bioinformatics
a_program,1,18175768,Bioinformatics
a_program,1,17496000,Bioinformatics
a_program,1,17237093,Bioinformatics
a_program,1,17942443,Bioinformatics
a_program,0.4078,17038338,Bioinformatics
a_program,0.7096,15840708,Bioinformatics
a_program,1,15961454,Bioinformatics
a_program,0.7128,15033876,Bioinformatics
a_program,1,15271778,Bioinformatics
a_program,0.6607,12176840,Bioinformatics
a_program,0.7071,11159307,Bioinformatics
a_program,1,15728119,Bioinformatics
a_program,0.6727,11524378,Bioinformatics
a_program,0.7321,11238077,Bioinformatics
a_program,1,9789092,Bioinformatics
a_program,1,20971986,Bioinformatics
a_program,0.6729,19447789,Bioinformatics
a_program,1,19605419,Bioinformatics
a_program,1,19477989,Bioinformatics
a_program,0.4058,17646289,Bioinformatics
a_program,1,17599927,Bioinformatics
a_program,1,17341499,Bioinformatics
a_program,1,15319257,Bioinformatics
a_program,0.7231,12386006,Bioinformatics
a_program,0.4187,10871271,Bioinformatics
a_program,1,10842739,Bioinformatics
a_program,1,12499303,Bioinformatics
a_program,1,21685059,Bioinformatics
a_program,1,18511469,Bioinformatics
a_program,0.6594,16873517,Bioinformatics
a_program,0.7436,16002431,Bioinformatics
a_program,1,15572464,Bioinformatics
a_program,1,11524375,Bioinformatics
a_program,0.7405,10842732,Bioinformatics
a_program,0.6996,21824970,Bioinformatics
a_program,1,21127032,Bioinformatics
a_program,1,20207696,Bioinformatics
a_program,1,20176580,Bioinformatics
a_program,1,19091771,Bioinformatics
a_program,0.7204,19633097,Bioinformatics
a_program,0.6749,18227115,Bioinformatics
a_program,1,18515276,Bioinformatics
a_program,1,18710873,Bioinformatics
a_program,1,18024973,Bioinformatics
a_program,1,17599926,Bioinformatics
a_program,1,17586547,Bioinformatics
a_program,1,17586551,Bioinformatics
a_program,1,17077098,Bioinformatics
a_program,1,16397010,Bioinformatics
a_program,0.7216,16332711,Bioinformatics
a_program,1,16500933,Bioinformatics
a_program,1,16287942,Bioinformatics
a_program,1,15647299,Bioinformatics
a_program,1,15701682,Bioinformatics
a_program,1,15932901,Bioinformatics
a_program,1,15284102,Bioinformatics
a_program,1,10068688,Bioinformatics
a_program,1,19289444,Bioinformatics
a_program,0.6944,17237108,Bioinformatics
a_program,0.59,16720586,Bioinformatics
a_program,0.4238,15914542,Bioinformatics
a_program,0.6711,15374870,Bioinformatics
a_program,1,15961491,Bioinformatics
a_program,1,15271782,Bioinformatics
a_program,0.7323,12611804,Bioinformatics
a_program,0.6721,9694992,Bioinformatics
a_program,1,21349865,Bioinformatics
a_program,1,21193522,Bioinformatics
a_program,1,21685047,Bioinformatics
a_program,0.7182,20823327,Bioinformatics
a_program,1,19942587,Bioinformatics
a_program,1,20639410,Bioinformatics
a_program,1,19015130,Bioinformatics
a_program,1,18037684,Bioinformatics
a_program,1,18586700,Bioinformatics
a_program,1,18779235,Bioinformatics
a_program,1,18697772,Bioinformatics
a_program,1,18033795,Bioinformatics
a_program,0.7235,17148511,Bioinformatics
a_program,1,16690634,Bioinformatics
a_program,1,16787973,Bioinformatics
a_program,1,16895933,Bioinformatics
a_program,1,17038347,Bioinformatics
a_program,1,15347575,Bioinformatics
a_program,1,16144805,Bioinformatics
a_program,1,14751992,Bioinformatics
a_program,1,14962928,Bioinformatics
a_program,0.5874,14668237,Bioinformatics
a_program,0.6404,11473007,Bioinformatics
a_program,1,11120679,Bioinformatics
a_program,0.6876,21088026,Bioinformatics
a_program,1,19478021,Bioinformatics
a_program,1,18025005,Bioinformatics
a_program,1,17646320,Bioinformatics
a_program,1,17060360,Bioinformatics
a_program,1,17237048,Bioinformatics
a_program,1,14751983,Bioinformatics
a_program,1,14988114,Bioinformatics
a_program,1,15180939,Bioinformatics
a_program,1,15130932,Bioinformatics
a_program,0.6514,12584138,Bioinformatics
a_program,0.5659,12050064,Bioinformatics
a_program,0.6553,10498773,Bioinformatics
a_program,1,10089205,Bioinformatics
a_program,0.7314,22171329,Bioinformatics
a_program,1,22495746,Bioinformatics
a_program,1,20130031,Bioinformatics
a_program,1,20576625,Bioinformatics
a_program,1,18434345,Bioinformatics
a_program,1,18057020,Bioinformatics
a_program,1,17720703,Bioinformatics
a_program,1,17237046,Bioinformatics
a_program,1,17038340,Bioinformatics
a_program,1,16873484,Bioinformatics
a_program,1,16820426,Bioinformatics
a_program,0.6664,15374860,Bioinformatics
a_program,0.688,16210424,Bioinformatics
a_program,1,14693819,Bioinformatics
a_program,1,12584129,Bioinformatics
a_program,1,12538254,Bioinformatics
a_program,1,19389735,Bioinformatics
a_program,1,18586704,Bioinformatics
a_program,1,18440999,Bioinformatics
a_program,0.7066,17392332,Bioinformatics
a_program,1,16766557,Bioinformatics
a_program,0.6752,15377503,Bioinformatics
a_program,1,14988110,Bioinformatics
a_program,1,15297298,Bioinformatics
a_program,1,15073001,Bioinformatics
a_program,0.6552,9545451,Bioinformatics
a_program,1,22433281,Bioinformatics
a_program,0.6636,21791534,Bioinformatics
a_program,1,21372086,Bioinformatics
a_program,1,21335320,Bioinformatics
a_program,1,20513664,Bioinformatics
a_program,1,20551137,Bioinformatics
a_program,1,20529941,Bioinformatics
a_program,1,19286834,Bioinformatics
a_program,0.7133,19359355,Bioinformatics
a_program,0.4037,18664467,Bioinformatics
a_program,0.7241,18184685,Bioinformatics
a_program,1,18689839,Bioinformatics
a_program,1,18048394,Bioinformatics
a_program,0.741,17823133,Bioinformatics
a_program,1,16766558,Bioinformatics
a_program,0.7104,16278239,Bioinformatics
a_program,1,16766562,Bioinformatics
a_program,1,16500938,Bioinformatics
a_program,1,16428263,Bioinformatics
a_program,0.7367,15647295,Bioinformatics
a_program,1,15591357,Bioinformatics
a_program,1,16159912,Bioinformatics
a_program,0.6607,15087313,Bioinformatics
a_program,0.6631,14734312,Bioinformatics
a_program,0.6727,15105280,Bioinformatics
a_program,0.7,14693818,Bioinformatics
a_program,1,14988113,Bioinformatics
a_program,1,14764566,Bioinformatics
a_program,1,15130927,Bioinformatics
a_program,1,14555633,Bioinformatics
a_program,0.6614,12117794,Bioinformatics
a_program,0.71,10487860,Bioinformatics
a_program,0.6667,9545456,Bioinformatics
a_program,1,9730929,Bioinformatics
