"journal","all","db","program","other"
"Mol Imaging",2,0,2,0
"Stat Med",4,0,4,0
"Health Promot Int",1,0,1,0
"Cilia",1,0,0,1
"J Mol Graph Model",4,0,4,0
"Brain Topogr",1,0,1,0
"Genesis",2,1,1,0
"Biochem Soc Trans",1,0,1,0
"Radiat Oncol",3,0,0,3
"Health Care Manag (Frederick)",1,0,0,1
"Rheumatology (Oxford)",2,0,0,2
"Conf Proc IEEE Eng Med Biol Soc",3,0,3,0
"J Clin Sleep Med",1,0,0,1
"J Magn Reson",6,0,6,0
"Chest",6,1,2,3
"Z Geburtshilfe Neonatol",1,0,0,1
"Philos Trans R Soc Lond B Biol Sci",2,0,2,0
"Dis Esophagus",1,0,0,1
"Acta Crystallogr Sect F Struct Biol Cryst Commun",1,0,1,0
"Eur J Pediatr",1,1,0,0
"Sleep Breath",1,0,0,1
"Dement Geriatr Cogn Disord",1,0,0,1
"Neurosurgery",2,0,0,2
"J Health Serv Res Policy",1,0,0,1
"Chimia (Aarau)",3,0,0,3
"Arch Oral Biol",1,0,0,1
"BMJ Case Rep",2,0,0,2
"Reprod Domest Anim",2,0,0,2
"Can J Exp Psychol",1,0,0,1
"Can J Anaesth",2,0,2,0
"J Pharmacokinet Pharmacodyn",3,0,1,2
"Pharmacogenet Genomics",1,0,0,1
"Global Health",1,0,0,1
"Prehosp Emerg Care",1,0,0,1
"Shock",2,0,1,1
"Gastroenterology",1,1,0,0
"World Health Organ Tech Rep Ser",4,0,0,4
"Przegl Lek",2,0,0,2
"Z Orthop Unfall",2,0,1,1
"Vet Microbiol",2,0,1,1
"JIMD Rep",2,2,0,0
"Virol J",2,0,2,0
"J Psychopharmacol",1,1,0,0
"Front Hum Neurosci",2,1,1,0
"Fam Cancer",1,1,0,0
"Sci Signal",3,2,1,0
"Retrovirology",2,0,2,0
"Drug Saf",4,0,1,3
"Spinal Cord",2,0,0,2
"Acad Radiol",3,0,3,0
"Nat Biotechnol",1,0,1,0
"J Neurol",1,0,1,0
"J Food Prot",1,0,1,0
"J Neural Transm",1,0,0,1
"Clin Exp Optom",1,1,0,0
"GMS Z Med Ausbild",3,0,1,2
"Evid Based Med",1,0,1,0
"Ann Surg",2,0,0,2
"Funct Integr Genomics",1,0,1,0
"Acta Biotheor",2,0,1,1
"Medsurg Nurs",1,0,0,1
"Br J Neurosurg",1,0,1,0
"Health Technol Assess",1,0,0,1
"Toxicol In Vitro",2,1,0,1
"Eur J Cancer",2,0,1,1
"Small GTPases",1,0,0,1
"Adicciones",1,0,0,1
"Br J Dermatol",3,0,1,2
"Cell Commun Signal",1,0,0,1
"Mol Aspects Med",2,0,0,2
"Eur J Heart Fail",1,0,0,1
"Int J Biometeorol",1,1,0,0
"Environ Health Insights",2,0,0,2
"Int J Technol Assess Health Care",2,0,2,0
"J Transl Med",4,1,3,0
"Obesity (Silver Spring)",1,0,1,0
"BMC Nephrol",4,0,0,4
"J Psychiatr Res",1,0,0,1
"Aging (Albany NY)",1,0,1,0
"J Postgrad Med",2,0,0,2
"Analyst",2,0,1,1
"Diabetes Care",1,1,0,0
"Rev Med Interne",1,0,0,1
"Arch Psychiatr Nurs",1,0,0,1
"Food Microbiol",2,1,1,0
"J Hum Evol",1,0,0,1
"Ophthalmic Physiol Opt",1,0,0,1
"Head Neck",1,0,0,1
"Int J Dermatol",2,0,0,2
"J Biomed Mater Res B Appl Biomater",1,0,0,1
"Fam Syst Health",1,0,0,1
"Regul Toxicol Pharmacol",4,0,1,3
"J Infect Dis",2,0,0,2
"J Int Med Res",1,0,0,1
"BMC Immunol",1,0,0,1
"Headache",2,0,0,2
"Dis Colon Rectum",1,0,1,0
"Complement Ther Med",1,0,0,1
"Wien Klin Wochenschr",3,0,0,3
"Vet J",1,0,0,1
"J Environ Manage",1,0,1,0
"J Mass Spectrom",4,0,4,0
"Gigascience",4,0,4,0
"Mol Cell Endocrinol",1,0,1,0
"Int J Lab Hematol",1,0,0,1
"Clin Gastroenterol Hepatol",1,0,0,1
"Surg Innov",3,0,2,1
"Eur Respir J",1,0,0,1
"West J Emerg Med",1,0,0,1
"Physiol Plant",1,1,0,0
"Liver Int",2,2,0,0
"Food Chem",2,2,0,0
"Med Image Anal",7,0,3,4
"Spectrochim Acta A Mol Biomol Spectrosc",1,0,1,0
"Gen Thorac Cardiovasc Surg",2,0,0,2
"Med Ref Serv Q",1,0,0,1
"Clin Exp Immunol",2,1,0,1
"J Hum Nutr Diet",2,0,0,2
"Interact J Med Res",1,0,1,0
"Altern Lab Anim",2,0,2,0
"Appl Clin Inform",1,0,1,0
"J Biomed Sci",1,0,1,0
"Biotechnol Biofuels",1,0,0,1
"Cell Div",1,0,1,0
"Europace",1,0,0,1
"Compend Contin Educ Dent",2,0,0,2
"Acta Crystallogr D Biol Crystallogr",12,3,8,1
"Aesthet Surg J",2,0,0,2
"PeerJ",26,3,19,4
"Glob Health Action",2,0,0,2
"Tob Control",2,0,2,0
"Conserv Biol",1,0,1,0
"Microsc Res Tech",1,0,0,1
"FEBS Open Bio",1,1,0,0
"Int J Neuropsychopharmacol",1,0,1,0
"Infect Control Hosp Epidemiol",3,0,1,2
"J Investig Allergol Clin Immunol",1,0,1,0
"J Public Health (Oxf)",1,0,1,0
"Biomed Opt Express",1,0,1,0
"Springerplus",7,1,4,2
"Can Urol Assoc J",1,0,0,1
"Front Integr Neurosci",1,1,0,0
"Water Sci Technol",2,0,0,2
"Bioimpacts",1,1,0,0
"J Forensic Sci",2,0,2,0
"J Virol Methods",4,0,3,1
"Oncogene",1,1,0,0
"Open Med",1,0,0,1
"ED Manag",1,0,1,0
"Silence",1,0,1,0
"Radiologe",1,0,0,1
"Curr Comput Aided Drug Des",1,0,1,0
"Arch Physiol Biochem",1,0,0,1
"J Clin Nurs",3,0,1,2
"Inform Prim Care",2,0,0,2
"COPD",1,0,0,1
"Hamostaseologie",1,0,0,1
"Biol Sex Differ",2,1,0,1
"Annu Rev Phytopathol",1,0,0,1
"Transplant Proc",2,0,1,1
"Int J Drug Policy",2,0,0,2
"Plant Mol Biol",1,0,0,1
"J Grad Med Educ",1,0,0,1
"J Adv Nurs",1,0,0,1
"J Commun Disord",1,0,0,1
"Med Sci (Paris)",2,0,1,1
"Carcinogenesis",1,1,0,0
"Acta Cir Bras",1,0,0,1
"NIH Consens State Sci Statements",1,0,1,0
"J Clin Monit Comput",1,0,1,0
"Psychiatr Rehabil J",2,0,0,2
"J Int Neuropsychol Soc",1,0,0,1
"J Diabetes Sci Technol",2,0,1,1
"J Cyst Fibros",3,0,1,2
"Biol Psychiatry",1,1,0,0
"Int J Colorectal Dis",1,1,0,0
"HEC Forum",2,0,0,2
"J Am Acad Dermatol",1,0,0,1
"Ann Diagn Pathol",1,0,1,0
"Assay Drug Dev Technol",1,1,0,0
"J Microsc",1,0,0,1
"Mol Psychiatry",1,0,1,0
"Eur J Clin Nutr",1,0,1,0
"J Peripher Nerv Syst",1,0,0,1
"Ann Pathol",3,0,2,1
"J Neurosurg Anesthesiol",1,0,0,1
"Hum Genet",1,0,1,0
"J Res Med Sci",1,1,0,0
"MMWR Recomm Rep",2,0,0,2
"AIDS Res Hum Retroviruses",1,0,1,0
"Adv Chronic Kidney Dis",1,0,0,1
"J Appl Res Intellect Disabil",2,1,0,1
"J Neurotrauma",1,0,1,0
"Mol Cancer Res",1,0,0,1
"Int J Gynaecol Obstet",1,0,0,1
"Hum Reprod",4,0,0,4
"Curr Protoc Mol Biol",2,0,2,0
"Pharmacopsychiatry",3,0,0,3
"Blood Res",1,0,0,1
"Aging Cell",1,1,0,0
"FEBS Lett",1,0,1,0
"Mol Neurobiol",1,0,0,1
"Pediatr Infect Dis J",1,0,1,0
"Clin Schizophr Relat Psychoses",1,0,0,1
"Cancer Nurs",1,0,0,1
"Diabetes Technol Ther",1,0,0,1
"Open Med Inform J",2,0,1,1
"Int J Aging Hum Dev",1,0,0,1
"J Nucl Med Technol",1,1,0,0
"Asia Pac J Public Health",1,0,0,1
"J Air Waste Manag Assoc",1,0,0,1
"Arch Phys Med Rehabil",1,0,1,0
"Int J Dev Biol",2,0,0,2
"Front Oncol",3,0,2,1
"Int J Public Health",1,0,1,0
"Trauma Violence Abuse",1,0,0,1
"Orthop Nurs",1,0,0,1
"Cancer Immun",1,1,0,0
"Neonatology",1,0,1,0
"J Am Geriatr Soc",2,0,0,2
"Curr Top Med Chem",3,0,3,0
"Sci Total Environ",4,0,3,1
"Chemosphere",1,1,0,0
"J Assist Reprod Genet",1,0,0,1
"Singapore Med J",2,0,1,1
"Physiologist",1,0,0,1
"Exp Anim",2,0,1,1
"Prev Vet Med",1,0,0,1
"Birth Defects Res A Clin Mol Teratol",1,0,0,1
"Pharmacoepidemiol Drug Saf",2,0,1,1
"Am J Hematol",1,1,0,0
"BMC Pulm Med",2,0,2,0
"J Sex Res",1,0,0,1
"Mult Scler",1,0,1,0
"Hepat Mon",1,0,1,0
"Int J Qual Stud Health Well-being",1,0,1,0
"J Nutr Health Aging",1,0,0,1
"NASN Sch Nurse",1,0,0,1
"Palliat Support Care",1,0,1,0
"Ann Plast Surg",2,0,1,1
"J Emerg Med",1,0,0,1
"Plant Cell",1,0,1,0
"Acta Diabetol",1,0,0,1
"Ann Rheum Dis",3,0,0,3
"J Vis",2,0,2,0
"NTP Monogr",3,0,0,3
"Circ Res",1,1,0,0
"Mol Plant",1,0,0,1
"Front Psychiatry",2,0,1,1
"Int J Circumpolar Health",2,0,0,2
"J Crit Care",1,0,0,1
"Pa Nurse",2,0,0,2
"Omega (Westport)",1,0,1,0
"Pediatrics",2,0,0,2
"Med Ultrason",1,0,0,1
"Microsc Microanal",1,0,1,0
"Mol Cancer",1,0,0,1
"Spine J",1,0,0,1
"Neuroendocrinology",1,0,0,1
"Appl Nurs Res",1,1,0,0
"Anaesthesist",2,0,0,2
"Arch Pathol Lab Med",1,0,1,0
"Cell",2,0,1,1
"Neurosci Biobehav Rev",1,0,0,1
"Exp Brain Res",1,0,0,1
"Int J Nurs Educ Scholarsh",2,0,0,2
"Eur J Gen Pract",1,1,0,0
"Trends Genet",1,1,0,0
"Psychotherapy (Chic)",1,0,0,1
"Strahlenther Onkol",1,0,1,0
"Health Res Policy Syst",1,0,0,1
"J Extracell Vesicles",1,1,0,0
"Eur J Neurol",1,0,1,0
"Nat Med",1,0,0,1
"J Health Commun",1,0,0,1
"Clin Oral Implants Res",1,0,0,1
"Biol Blood Marrow Transplant",1,0,1,0
"Faraday Discuss",2,0,1,1
"J Appl Toxicol",1,0,1,0
"Pain",1,1,0,0
"Lymphat Res Biol",1,0,0,1
"Logoped Phoniatr Vocol",1,0,1,0
"Riv Psichiatr",3,2,0,1
"J Occup Rehabil",1,0,0,1
"Biomed Eng Online",1,0,1,0
"Methods Enzymol",2,0,2,0
"Can J Diabetes",1,0,1,0
"Neurocrit Care",1,0,1,0
"BMC Psychiatry",2,0,0,2
"J Orthop Traumatol",1,1,0,0
"Sex Transm Infect",2,0,0,2
"Appl Ergon",1,1,0,0
"Circ Cardiovasc Interv",2,0,0,2
"Biogerontology",1,0,0,1
"Clin Trials",2,0,0,2
"J Clin Diagn Res",3,0,0,3
"Harm Reduct J",1,0,0,1
"Soc Sci Res",1,0,0,1
"J Am Coll Radiol",1,0,1,0
"Lung Cancer",1,0,0,1
"J Microbiol Methods",2,0,1,1
"Nat Struct Mol Biol",1,0,1,0
"Int J Nanomedicine",3,0,3,0
"AIDS",1,0,1,0
"Perspect Med Educ",1,0,0,1
"Mol Ecol",2,1,0,1
"J Synchrotron Radiat",1,0,0,1
"Am J Phys Anthropol",2,2,0,0
"Zoolog Sci",1,1,0,0
"Indian J Pharmacol",1,1,0,0
"Indian J Orthop",1,1,0,0
"J Phys Condens Matter",1,0,1,0
"Bull Math Biol",1,0,0,1
"Popul Stud (Camb)",1,0,0,1
"J Affect Disord",1,0,1,0
"Hosp Pract (1995)",1,0,0,1
"Phytother Res",1,0,0,1
"JEMS",1,0,0,1
"Aust Health Rev",1,0,0,1
"FEMS Microbiol Rev",1,1,0,0
"Chem Biol Drug Des",2,0,2,0
"Crit Care",2,0,0,2
"Curr Opin Immunol",1,0,0,1
"Pak J Biol Sci",1,0,0,1
"J Clin Gastroenterol",1,0,0,1
"Paediatr Child Health",4,0,0,4
"Tijdschr Psychiatr",1,0,0,1
"Emerg Radiol",1,0,0,1
"J Am Board Fam Med",1,0,0,1
"Clin Neuropsychol",1,0,1,0
"Talanta",2,0,1,1
"Circ Cardiovasc Genet",1,0,1,0
"Support Care Cancer",1,0,1,0
"J Appl Genet",1,0,0,1
"Can Fam Physician",2,0,1,1
"Plant Cell Environ",1,0,1,0
"Mikrobiyol Bul",3,0,0,3
"BMC Hematol",1,0,0,1
"J Int AIDS Soc",6,1,0,5
"Endocr Pract",1,0,1,0
"Environ Sci Process Impacts",1,0,0,1
"Ann Clin Lab Sci",1,0,0,1
"Adv Skin Wound Care",3,0,0,3
"MEDICC Rev",1,0,0,1
"BMC Cell Biol",1,0,0,1
"Occup Health Saf",1,0,0,1
"Br Dent J",4,0,0,4
"Eur J Microbiol Immunol (Bp)",1,0,0,1
"Microb Ecol",4,1,2,1
"Rice (N Y)",2,1,0,1
"J AOAC Int",1,0,1,0
"Eur J Endocrinol",1,0,0,1
"Diabetes Metab Syndr",1,0,1,0
"Rozhl Chir",1,0,1,0
"CBE Life Sci Educ",1,0,0,1
"Front Immunol",1,0,1,0
"Ann Am Thorac Soc",2,0,0,2
"Aust Occup Ther J",1,0,0,1
"Pneumologie",2,0,0,2
"Stem Cells",1,0,0,1
"Oncologist",5,0,3,2
"Dimens Crit Care Nurs",1,0,0,1
"BMC Pregnancy Childbirth",2,0,1,1
"J Undergrad Neurosci Educ",1,0,1,0
"Med Phys",7,1,4,2
"Syst Appl Microbiol",1,0,0,1
"Eur J Clin Microbiol Infect Dis",1,1,0,0
"Semin Oncol",1,0,0,1
"Protein Expr Purif",1,1,0,0
"Cytogenet Genome Res",1,0,1,0
"Kidney Int",2,0,2,0
"J Craniofac Surg",1,0,0,1
"Yonsei Med J",4,0,1,3
"Arthritis Care Res (Hoboken)",1,0,0,1
"Indian J Hum Genet",1,1,0,0
"Ann Biol Clin (Paris)",1,0,0,1
"Am J Gastroenterol",1,1,0,0
"Subst Abuse",1,0,1,0
"Acta Biochim Pol",1,0,1,0
"Genes Dev",1,1,0,0
"Indian J Dent Res",1,0,0,1
"Horm Res Paediatr",1,1,0,0
"Handchir Mikrochir Plast Chir",1,0,0,1
"F1000Res",32,1,28,3
"Astrobiology",1,0,1,0
"Contraception",1,0,0,1
"Rehabilitation (Stuttg)",1,0,0,1
"Evol Comput",1,0,1,0
"BMC Fam Pract",1,0,0,1
"JMIR Res Protoc",8,3,5,0
"Bone",1,0,0,1
"J Endourol",1,0,0,1
"Nephrol Dial Transplant",2,0,0,2
"J Wound Ostomy Continence Nurs",1,0,1,0
"J Environ Sci Health B",1,0,0,1
"Am J Alzheimers Dis Other Demen",1,0,1,0
"Pharmacogenomics J",1,0,1,0
"Eur J Cardiovasc Nurs",1,0,0,1
"Contemp Clin Dent",1,0,1,0
"GMS Curr Top Otorhinolaryngol Head Neck Surg",1,0,0,1
"Appetite",1,1,0,0
"Yeast",2,0,2,0
"J Neurochem",1,0,0,1
"J Med Toxicol",2,2,0,0
"J Med Libr Assoc",1,0,0,1
"Glob Adv Health Med",1,0,0,1
"Acta Crystallogr A Found Adv",1,0,0,1
"Hosp Pharm",1,0,0,1
"Bonekey Rep",1,0,0,1
"Pain Med",1,0,1,0
"Praxis (Bern 1994)",1,0,0,1
"Interface Focus",2,0,1,1
"Nursing",1,0,0,1
"J Plast Reconstr Aesthet Surg",1,0,1,0
"Mar Genomics",1,1,0,0
"Dev Growth Differ",1,1,0,0
"Anim Genet",3,0,3,0
"J Math Biol",2,0,2,0
"Int J Behav Nutr Phys Act",1,0,0,1
"Acta Obstet Gynecol Scand",1,0,0,1
"Microbiome",2,0,2,0
"IET Syst Biol",1,0,1,0
"Am Soc Clin Oncol Educ Book",3,0,0,3
"Int J MS Care",1,0,0,1
"J Clin Exp Dent",2,0,1,1
"Knee",1,0,1,0
"Ann Vasc Surg",1,0,0,1
"Traffic Inj Prev",1,1,0,0
"Bioanalysis",1,0,0,1
"J Appl Oral Sci",1,0,0,1
"Cardiovasc Intervent Radiol",2,0,0,2
"BMC Med Educ",2,0,1,1
"Arch Gerontol Geriatr",1,0,0,1
"Acta Pharmacol Sin",1,0,1,0
"Toxicol Pathol",1,0,1,0
"Thromb Res",4,0,0,4
"IAVI Rep",1,0,0,1
"Gene Ther",1,0,0,1
"Hum Mov Sci",1,1,0,0
"J Prof Nurs",1,0,0,1
"Cell Death Dis",1,0,1,0
"Public Health Genomics",2,1,1,0
"Int J Food Microbiol",3,2,0,1
"Am J Ophthalmol",1,0,1,0
"Curr Opin Chem Biol",1,0,0,1
"Scand J Trauma Resusc Emerg Med",1,1,0,0
"J Enzyme Inhib Med Chem",1,0,0,1
"Crit Rev Food Sci Nutr",1,0,0,1
"Part Fibre Toxicol",1,0,0,1
"Bioresour Technol",2,0,1,1
"Eur Neurol",1,0,0,1
"Vet Rec",1,1,0,0
"Pediatr Pulmonol",1,1,0,0
"J Cancer Surviv",1,1,0,0
"Nurse Educ",1,0,0,1
"Appl Physiol Nutr Metab",1,0,1,0
"J Trauma Acute Care Surg",1,0,0,1
"Diagn Cytopathol",1,0,0,1
"BMC Geriatr",1,0,0,1
"Mol Genet Genomics",2,1,1,0
"BMC Proc",2,0,2,0
"JPEN J Parenter Enteral Nutr",1,0,1,0
"Ecancermedicalscience",2,0,2,0
"Plant Signal Behav",1,0,0,1
"J Clin Epidemiol",1,0,1,0
"Acta Sci Pol Technol Aliment",1,1,0,0
"Syst Synth Biol",2,1,1,0
"Elife",2,1,0,1
"J Clin Pathol",1,0,0,1
"Health Serv Res",1,0,0,1
"Am J Med Genet C Semin Med Genet",1,0,1,0
"Nervenarzt",5,0,0,5
"Int J Stroke",2,0,0,2
"CPT Pharmacometrics Syst Pharmacol",1,0,1,0
"Psychol Psychother",1,0,0,1
"Mar Biotechnol (NY)",1,0,0,1
"BMC Vet Res",2,1,0,1
"Iran J Psychiatry Behav Sci",2,0,0,2
"Cardiovasc Diabetol",1,0,0,1
"Comb Chem High Throughput Screen",6,0,4,2
"J Alzheimers Dis",1,0,1,0
"Cancer Chemother Pharmacol",1,1,0,0
"Philos Trans A Math Phys Eng Sci",1,0,1,0
"J Am Acad Orthop Surg",1,1,0,0
"Ther Umsch",1,0,0,1
"J Orthod",2,0,0,2
"World Allergy Organ J",1,0,0,1
"Acta Trop",1,1,0,0
"Eval Program Plann",2,0,1,1
"Inf Process Med Imaging",1,0,1,0
"Basic Clin Pharmacol Toxicol",1,0,1,0
"ALTEX",1,0,1,0
"Pediatr Obes",2,0,0,2
"Int J Neural Syst",1,0,1,0
"Hosp Case Manag",1,0,0,1
"Therapie",1,1,0,0
"Zootaxa",6,3,2,1
"J Biol Inorg Chem",1,0,1,0
"Genes (Basel)",1,1,0,0
"World J Urol",1,0,0,1
"Am J Mens Health",2,0,0,2
"J Nutr",4,0,0,4
"Br J Radiol",1,0,0,1
"Neuro Oncol",1,0,0,1
"Biodivers Data J",5,2,1,2
"Int J Radiat Oncol Biol Phys",2,0,0,2
"Trends Endocrinol Metab",1,0,1,0
"J Oncol Pract",1,0,0,1
"Allergy",2,1,1,0
"J Math Neurosci",1,0,1,0
"MMWR Surveill Summ",4,1,1,2
"Biomed Res Int",2,1,1,0
"AJNR Am J Neuroradiol",1,0,0,1
"Genes Cells",2,0,2,0
"Respir Res",1,0,1,0
"Cell Biochem Biophys",2,0,0,2
"Arthritis Rheumatol",1,0,1,0
"Pflege Z",1,0,0,1
"Fam Med",1,0,0,1
"J Neuroimmune Pharmacol",1,0,0,1
"J Sports Sci Med",1,0,0,1
"Trends Parasitol",1,0,0,1
"J Neurosci Nurs",1,0,1,0
"Int J Cancer",2,0,0,2
"Pneumologia",2,1,0,1
"IEEE Comput Graph Appl",1,0,1,0
"Clin Vaccine Immunol",1,0,0,1
"Eukaryot Cell",1,0,0,1
"Can J Aging",1,0,1,0
"Curr Genomics",1,0,1,0
"Brain Inj",1,0,0,1
"Biology (Basel)",1,0,1,0
"Behav Cogn Psychother",1,0,0,1
"J Gerontol A Biol Sci Med Sci",2,0,0,2
"Ann Otol Rhinol Laryngol",1,0,0,1
"Biopreserv Biobank",7,0,2,5
"Cancer Biol Ther",1,0,0,1
"J Pediatr Orthop",1,0,1,0
"Pediatr Int",1,1,0,0
"J Pathol Inform",1,0,1,0
"Biomed Instrum Technol",1,0,0,1
"Development",2,1,0,1
"Diabetes Metab J",1,0,0,1
"Undersea Hyperb Med",1,1,0,0
"Caries Res",1,0,1,0
"An Pediatr (Barc)",1,1,0,0
"J Health Care Poor Underserved",1,0,1,0
"J Gen Appl Microbiol",1,0,1,0
"Rev Med Chil",1,0,0,1
"Amyotroph Lateral Scler Frontotemporal Degener",1,0,1,0
"Br J Gen Pract",1,0,1,0
"EURASIP J Bioinform Syst Biol",1,0,1,0
"Cochlear Implants Int",1,0,0,1
"Nature",2,1,0,1
"J Med Phys",1,0,0,1
"Epidemiol Health",4,1,0,3
"Toxicol Appl Pharmacol",1,0,1,0
"Can Geriatr J",1,0,0,1
"JAMA Intern Med",2,0,0,2
"BJOG",1,1,0,0
"J Travel Med",2,0,0,2
"Curr Biol",2,1,1,0
"Rev Bras Cir Cardiovasc",1,0,0,1
"R I Med J (2013)",4,0,0,4
"J Clin Neurosci",1,0,0,1
"Integr Comp Biol",1,1,0,0
"J Sleep Res",1,1,0,0
"World J Gastroenterol",2,1,1,0
"Trends Plant Sci",1,0,0,1
"Pharm Biol",1,1,0,0
"J Obstet Gynaecol Can",1,1,0,0
"Prog Biophys Mol Biol",1,0,0,1
"J Pathol",2,0,1,1
"Laryngoscope",1,0,0,1
"ILAR J",1,0,1,0
"Mol Genet Genomic Med",2,0,0,2
"J Neurogastroenterol Motil",1,0,0,1
"Endosc Ultrasound",1,0,0,1
"BMC Infect Dis",2,0,0,2
"Res Dev Disabil",4,0,0,4
"Neuron",2,1,0,1
"J Acad Nutr Diet",2,0,1,1
"Mol Oncol",1,0,1,0
"Anaesth Intensive Care",1,0,0,1
"J Behav Ther Exp Psychiatry",1,0,1,0
"Epidemiol Prev",1,0,1,0
"PLoS Curr",2,0,2,0
"Perspect Clin Res",2,0,0,2
"J Bronchology Interv Pulmonol",1,0,0,1
"BMC Pediatr",2,0,2,0
"J Crohns Colitis",1,1,0,0
"Pract Midwife",1,0,0,1
"J Nucl Med",1,0,1,0
"Haematologica",2,0,1,1
"Front Syst Neurosci",1,0,1,0
"Peptides",3,0,0,3
"J Genomics",1,1,0,0
"J Adv Pract Oncol",1,0,0,1
"Tumour Biol",1,0,1,0
"Adv Pediatr",2,0,0,2
"Asian J Psychiatr",1,0,1,0
"Asian-Australas J Anim Sci",3,2,0,1
"Med Sci Sports Exerc",1,0,0,1
"J Telemed Telecare",1,0,0,1
"BMC Cardiovasc Disord",1,0,1,0
"J Contam Hydrol",1,0,1,0
"Rev Med Liege",1,0,0,1
"Evol Appl",1,0,1,0
"Avicenna J Phytomed",1,0,1,0
"Inorg Chem",1,0,1,0
"Ann Hematol",1,0,0,1
"J Public Health Manag Pract",3,0,0,3
"J Am Coll Dent",2,0,0,2
"IMA Fungus",3,1,0,2
"Clin J Oncol Nurs",2,1,0,1
"Res Social Adm Pharm",1,0,0,1
"JMIR Mhealth Uhealth",2,0,1,1
"Indian J Cancer",1,1,0,0
"Blood Rev",1,0,0,1
"Eur J Haematol",1,0,0,1
"Can J Plast Surg",1,0,0,1
"Endocrine",1,0,0,1
"Nicotine Tob Res",2,0,2,0
"Am J Public Health",1,0,1,0
"Med Klin Intensivmed Notfmed",1,0,0,1
"Front Bioeng Biotechnol",6,1,4,1
"Acta Inform Med",1,0,1,0
"Blood Purif",4,0,1,3
"Cancer Res",1,0,0,1
"Commun Agric Appl Biol Sci",1,1,0,0
"J Neurooncol",1,0,0,1
"Dev Dyn",1,0,1,0
"Ann Parasitol",1,1,0,0
"J Public Health Res",1,1,0,0
"Nat Neurosci",1,1,0,0
"Ann Clin Microbiol Antimicrob",1,0,0,1
"Lab Anim",2,0,1,1
"Int J Ther Massage Bodywork",1,0,0,1
"Int J Occup Saf Ergon",1,1,0,0
"J Nutr Sci",1,1,0,0
"J Clin Ethics",1,0,0,1
"Poult Sci",1,0,1,0
"J Invasive Cardiol",1,0,0,1
"J Am Assoc Lab Anim Sci",1,0,0,1
"Appl Plant Sci",3,0,1,2
"Anaesthesia",1,1,0,0
"Cell Host Microbe",1,0,0,1
"Neurol Res",1,0,0,1
"J Behav Addict",1,0,1,0
"J Surg Res",1,0,0,1
"Minerva Ginecol",1,0,1,0
"Psychiatry Res",2,0,1,1
"Am J Trop Med Hyg",1,0,0,1
"Bull Menninger Clin",1,0,0,1
"Inflamm Bowel Dis",1,0,0,1
"J Pers Disord",1,0,0,1
"Cardiovasc Pathol",1,0,0,1
"Iran J Cancer Prev",1,0,0,1
"Nurs Manag (Harrow)",5,1,0,4
"Worm",1,0,1,0
"Turk J Gastroenterol",1,1,0,0
"J Cell Biochem",1,0,1,0
"Nurs Older People",1,0,0,1
"Neuroradiol J",1,0,0,1
"Urol Oncol",1,0,0,1
"Psychosom Med",1,1,0,0
"Minerva Stomatol",1,0,0,1
"Forensic Sci Int",2,0,1,1
"Sante Publique",1,1,0,0
"Clin Lung Cancer",1,0,0,1
"Int J Pharm Compd",1,1,0,0
"Zhonghua Nan Ke Xue",1,0,0,1
"Arch Esp Urol",1,0,0,1
"Int J Sports Physiol Perform",1,0,1,0
"Diving Hyperb Med",1,0,1,0
"Z Gastroenterol",1,0,1,0
"J Child Psychol Psychiatry",1,0,0,1
"Indian J Microbiol",1,0,0,1
"Shanghai Arch Psychiatry",1,0,0,1
"Vector Borne Zoonotic Dis",1,0,0,1
"J Assoc Physicians India",1,1,0,0
"Open Rheumatol J",1,0,0,1
"Ann Transl Med",1,0,0,1
"Med Image Comput Comput Assist Interv",1,0,0,1
"ACS Chem Biol",1,0,1,0
"Chem Rec",1,0,0,1
"Asian Pac J Cancer Prev",1,0,0,1
"Tumori",1,0,0,1
"Int Rev Psychiatry",1,0,0,1
"Nat Chem Biol",1,0,1,0
"Clin Anat",1,0,0,1
"Cytoskeleton (Hoboken)",1,0,0,1
"BMC Anesthesiol",2,0,1,1
"Acta Neurochir Suppl",1,0,0,1
"Genes Nutr",2,0,0,2
"Plant Biotechnol J",1,0,1,0
"Transpl Infect Dis",1,0,0,1
"Epilepsia",1,0,1,0
"J Ginseng Res",1,0,0,1
"Transl Oncol",1,0,1,0
"J Community Health",1,0,1,0
"J Multidiscip Healthc",1,0,0,1
"Acta Cytol",1,0,0,1
"Cell Regen (Lond)",1,0,1,0
"Curr Rheumatol Rev",1,0,0,1
"BMJ Qual Saf",1,0,0,1
"Mod Pathol",1,0,0,1
"Australas Phys Eng Sci Med",1,0,1,0
"Ann Nutr Metab",1,0,1,0
"Saudi J Anaesth",1,0,0,1
"Cell Mol Biol Lett",1,0,1,0
"GM Crops Food",1,0,0,1
"Clin Investig Arterioscler",1,0,0,1
"Toxicology",1,1,0,0
"Mol Ther Nucleic Acids",2,0,2,0
"Anaerobe",1,0,0,1
"Adv Nutr",3,0,0,3
"Cerebrovasc Dis",1,0,0,1
"Genetika",1,1,0,0
"J Endod",1,0,1,0
"J Vis Commun Med",1,1,0,0
"Hum Vaccin Immunother",1,0,0,1
"Zh Obshch Biol",1,0,0,1
"Klin Onkol",6,0,3,3
"Int J Surg",1,0,0,1
"Eur J Med Genet",1,1,0,0
"J Genet Couns",1,0,0,1
